iso_code,exchange_rate,ref_date
ALL,108.65,2020
ARS,70.539,2020
AUD,1.453,2020
EUR,0.876,2020
BRL,5.155,2020
BGN,1.716,2020
XAF,575.586,2020
CAD,1.341,2020
CLF,792.727,2020
CNY,6.901,2020
COP,3694.854,2020
CRC,584.901,2020
HRK,6.614,2020
CZK,23.21,2020
DKK,6.542,2020
GEL,3.109,2020
HKD,7.757,2020
HUF,307.997,2020
ISK,135.422,2020
INR,74.1,2020
IDR,14582.203,2020
ILS,3.442,2020
JPY,106.775,2020
KRW,1180.266,2020
MGA,3787.754,2020
MXN,21.486,2020
MAD,9.497,2020
NZD,1.542,2020
MKD,54.144,2020
NOK,9.416,2020
PLN,3.9,2020
RON,4.244,2020
RUB,72.105,2020
SAR,3.75,2020
XOF,575.586,2020
RSD,103.163,2020
SGD,1.38,2020
ZAR,16.459,2020
SEK,9.21,2020
CHE,0.939,2020
TRY,7.009,2020
GBP,0.78,2020
USD,1,2020
ZMW,18.344,2020
ALL,103.52,2021
ARS,94.991,2021
AUD,1.331,2021
EUR,0.845,2021
BRL,5.394,2021
BGN,1.654,2021
XAF,554.531,2021
CAD,1.254,2021
CLF,758.955,2021
CNY,6.449,2021
COP,3743.59,2021
CRC,620.785,2021
HRK,6.36,2021
CZK,21.678,2021
DKK,6.287,2021
GEL,3.222,2021
HKD,7.773,2021
HUF,303.141,2021
ISK,126.989,2021
INR,73.918,2021
IDR,14308.144,2021
ILS,3.23,2021
JPY,109.754,2021
KRW,1143.958,2021
MGA,3829.978,2021
MXN,20.272,2021
MAD,8.988,2021
NZD,1.414,2021
MKD,52.102,2021
NOK,8.59,2021
PLN,3.862,2021
RON,4.16,2021
RUB,73.654,2021
SAR,3.75,2021
XOF,554.531,2021
RSD,99.396,2021
SGD,1.343,2021
ZAR,14.779,2021
SEK,8.577,2021
CHE,0.914,2021
TRY,8.85,2021
GBP,0.727,2021
USD,1,2021
ZMW,20.018,2021
AFN,88.5762,2022
ALL,117.8675,2022
DZD,140.6403,2022
EUR,1.0093,2022
AOA,430.2375,2022
XCD,2.7026,2022
ARS,142.944,2022
AMD,407.9491,2022
AWG,1.8013,2022
AUD,1.4962,2022
AZN,1.7,2022
BSD,0.9992,2022
BHD,0.3768,2022
BDT,98.1354,2022
BBD,2.0158,2022
BYN,2.5223,2022
BZD,2.0125,2022
XOF,657.6508,2022
BMD,1,2022
BTN,80.2144,2022
BOB,6.8986,2022
BAM,1.9715,2022
BWP,13.0705,2022
BRL,5.2292,2022
BND,1.4106,2022
BGN,1.9737,2022
MMK,2098.1341,2022
BIF,2049.4082,2022
KHR,4114.0619,2022
XAF,661.2226,2022
CAD,1.3315,2022
CVE,111.1905,2022
CLF,922.3113,2022
CNY,7.0089,2022
COP,4439.6957,2022
KMF,496.6364,2022
CDF,2038.0729,2022
CRC,640.3477,2022
HRK,7.589,2022
CUC,23.8095,2022
CZK,24.8053,2022
DKK,7.5084,2022
DJF,177.7647,2022
DOP,53.2261,2022
EGP,19.3802,2022
ERN,15.1,2022
ETB,52.5396,2022
FJD,2.2575,2022
GMD,54.768,2022
GEL,2.8423,2022
GHS,10.0766,2022
GIP,0.8129,2022
GTQ,7.7845,2022
GNF,8712.6103,2022
GYD,208.5845,2022
HTG,118.9336,2022
HNL,24.6074,2022
HKD,7.8494,2022
HUF,408.1759,2022
ISK,141.8212,2022
INR,80.2144,2022
IDR,14993.2466,2022
IRR,280819.9877,2022
IQD,1458.5586,2022
ILS,3.4474,2022
JMD,151.338,2022
JPY,142.9918,2022
JOD,0.709,2022
KZT,475.1063,2022
KES,120.4391,2022
KWD,0.3091,2022
KGS,81.2316,2022
LAK,15919.5226,2022
LBP,24000.0003,2022
LSL,17.5358,2022
LRD,153.8481,2022
LYD,4.9666,2022
CHF,0.973,2022
MOP,8.0735,2022
MGA,4151.1649,2022
MWK,1023.3712,2022
MYR,4.5669,2022
MVR,15.4506,2022
MRU,357.05,2022
MUR,44.7915,2022
MXN,20.053,2022
MDL,19.3831,2022
MAD,10.7359,2022
MZN,63.8782,2022
NAD,17.241,2022
NPR,128.164,2022
XPF,120.5887,2022
NZD,1.6846,2022
NIO,35.9232,2022
NGN,427.9394,2022
KPW,900.0009,2022
MKD,62.1025,2022
NOK,10.2486,2022
OMR,0.3849,2022
PKR,229.6974,2022
PAB,0.9986,2022
PGK,3.5204,2022
PYG,6950.6849,2022
PEN,3.8844,2022
PHP,57.5855,2022
PLN,4.7826,2022
QAR,3.641,2022
RON,4.9498,2022
RUB,60.0275,2022
RWF,1038.0426,2022
STN,20000.0005,2022
SAR,3.7595,2022
RSD,118.3668,2022
SCR,13.6526,2022
SLE,14533.4507,2022
SGD,1.413,2022
SBD,8.1824,2022
SOS,567.4904,2022
ZAR,17.5803,2022
KRW,1265.8228,2022
LKR,361.1326,2022
SDG,530,2022
SRD,27.0642,2022
SZL,17.5194,2022
SEK,10.869,2022
CHE,0.973,2022
SYP,3848,2022
TWD,31.2183,2022
TJS,10.0697,2022
TZS,2330.5236,2022
THB,36.9745,2022
TOP,2.3823,2022
TTD,6.7796,2022
TND,3.2258,2022
TRY,18.2967,2022
TMT,3.4959,2022
UGX,3819.3225,2022
UAH,36.8758,2022
AED,3.6731,2022
GBP,0.8831,2022
UYI,40.9379,2022
UZS,10981.6352,2022
VUV,109.4335,2022
VND,23623.1635,2022
YER,1239,2022
ZMW,15.5788,2022
USD,1,2022
